Date;Nouveaux cas;Cumulatif de cas
2020-02-25;1;1
2020-02-26;0;1
2020-02-27;0;1
2020-02-28;0;1
2020-02-29;0;1
2020-03-01;0;1
2020-03-02;2;3
2020-03-03;0;3
2020-03-04;0;3
2020-03-05;0;3
2020-03-06;0;3
2020-03-07;0;3
2020-03-08;1;4
2020-03-09;1;5
2020-03-10;2;7
2020-03-11;3;10
2020-03-12;3;13
2020-03-13;2;15
2020-03-14;5;20
2020-03-15;6;26
2020-03-16;5;31
2020-03-17;7;38
2020-03-18;6;44
2020-03-19;36;80
2020-03-20;49;129
2020-03-21;90;219
2020-03-22;90;309
2020-03-23;133;442
2020-03-24;144;586
2020-03-25;187;773
2020-03-26;180;953
2020-03-27;243;1196
2020-03-28;200;1396
2020-03-29;259;1655
2020-03-30;266;1921
2020-03-31;331;2252
2020-04-01;305;2557
2020-04-02;408;2965
2020-04-03;348;3313
2020-04-04;340;3653
2020-04-05;261;3914
2020-04-06;456;4370
2020-04-07;423;4793
2020-04-08;375;5168
2020-04-09;350;5518
2020-04-10;305;5823
2020-04-11;264;6087
2020-04-12;329;6416
2020-04-13;542;6958
2020-04-14;469;7427
2020-04-15;613;8040
2020-04-16;497;8537
2020-04-17;571;9108
2020-04-18;329;9437
2020-04-19;432;9869
2020-04-20;481;10350
2020-04-21;461;10811
2020-04-22;536;11347
2020-04-23;530;11877
2020-04-24;495;12372
2020-04-25;318;12690
2020-04-26;287;12977
2020-04-27;462;13439
2020-04-28;475;13914
2020-04-29;523;14437
2020-04-30;587;15024
2020-05-01;621;15645
2020-05-02;525;16170
2020-05-03;345;16515
2020-05-04;422;16937
2020-05-05;471;17408
2020-05-06;568;17976
2020-05-07;431;18407
2020-05-08;433;18840
2020-05-09;314;19154
2020-05-10;299;19453
2020-05-11;363;19816
2020-05-12;430;20246
2020-05-13;402;20648
2020-05-14;354;21002
2020-05-15;346;21348
2020-05-16;272;21620
2020-05-17;336;21956
2020-05-18;332;22288
2020-05-19;316;22604
2020-05-20;408;23012
2020-05-21;380;23392
2020-05-22;254;23646
2020-05-23;218;23864
2020-05-24;215;24079
2020-05-25;208;24287
2020-05-26;240;24527
2020-05-27;254;24781
2020-05-28;194;24975
2020-05-29;194;25169
2020-05-30;206;25375
2020-05-31;140;25515
2020-06-01;159;25674
2020-06-02;97;25771
2020-06-03;115;25886
2020-06-04;129;26015
2020-06-05;107;26122
2020-06-06;104;26226
2020-06-07;76;26302
2020-06-08;51;26353
2020-06-09;80;26433
2020-06-10;66;26499
2020-06-11;66;26565
2020-06-12;72;26637
2020-06-13;67;26704
2020-06-14;28;26732
2020-06-15;56;26788
2020-06-16;73;26861
2020-06-17;52;26913
2020-06-18;49;26962
2020-06-19;65;27027
2020-06-20;33;27060
2020-06-21;26;27086
2020-06-22;39;27125
2020-06-23;40;27165
2020-06-24;28;27193
2020-06-25;47;27240
2020-06-26;42;27282
2020-06-27;30;27312
2020-06-28;18;27330
2020-06-29;16;27346
2020-06-30;40;27386
2020-07-01;23;27409
2020-07-02;17;27426
2020-07-03;18;27444
2020-07-04;15;27459
2020-07-05;7;27466
2020-07-06;16;27482
2020-07-07;21;27503
2020-07-08;33;27536
2020-07-09;52;27588
2020-07-10;48;27636
2020-07-11;22;27658
2020-07-12;13;27671
2020-07-13;76;27747
2020-07-14;66;27813
2020-07-15;69;27882
2020-07-16;68;27950
2020-07-17;100;28050
2020-07-18;98;28148
2020-07-19;54;28202
2020-07-20;37;28239
2020-07-21;65;28304
2020-07-22;78;28382
2020-07-23;98;28480
2020-07-24;69;28549
2020-07-25;32;28581
2020-07-26;52;28633
2020-07-27;41;28674
2020-07-28;37;28711
2020-07-29;71;28782
2020-07-30;60;28842
2020-07-31;57;28899
2020-08-01;51;28950
2020-08-02;30;28980
2020-08-03;45;29025
2020-08-04;64;29089
2020-08-05;47;29136
2020-08-06;21;29157
2020-08-07;46;29203
2020-08-08;37;29240
2020-08-09;36;29276
2020-08-10;33;29309
2020-08-11;36;29345
2020-08-12;34;29379
2020-08-13;38;29417
2020-08-14;30;29447
2020-08-15;14;29461
2020-08-16;12;29473
2020-08-17;17;29490
2020-08-18;16;29506
2020-08-19;22;29528
2020-08-20;34;29562
2020-08-21;33;29595
2020-08-22;20;29615
2020-08-23;23;29638
2020-08-24;10;29648
2020-08-25;30;29678
2020-08-26;42;29720
2020-08-27;43;29763
2020-08-28;24;29787
2020-08-29;55;29842
2020-08-30;13;29855
2020-08-31;32;29887
2020-09-01;35;29922
2020-09-02;36;29958
2020-09-03;70;30028
2020-09-04;49;30077
2020-09-05;67;30144
2020-09-06;59;30203
2020-09-07;51;30254
2020-09-08;72;30326
2020-09-09;70;30396
2020-09-10;89;30485
2020-09-11;108;30593
2020-09-12;71;30664
2020-09-13;96;30760
2020-09-14;73;30833
2020-09-15;94;30927
2020-09-16;79;31006
2020-09-17;71;31077
2020-09-18;200;31277
2020-09-19;139;31416
2020-09-20;204;31620
2020-09-21;141;31761
2020-09-22;169;31930
2020-09-23;254;32184
2020-09-24;231;32415
2020-09-25;288;32703
2020-09-26;343;33046
2020-09-27;276;33322
2020-09-28;282;33604
2020-09-29;354;33958
2020-09-30;315;34273
2020-10-01;308;34581
2020-10-02;415;34996
2020-10-03;372;35368
2020-10-04;303;35671
2020-10-05;280;35951
2020-10-06;257;36208
2020-10-07;297;36505
2020-10-08;346;36851
2020-10-09;286;37137
2020-10-10;193;37330
2020-10-11;329;37659
2020-10-12;267;37926
2020-10-13;203;38129
2020-10-14;270;38399
2020-10-15;256;38655
2020-10-16;264;38919
2020-10-17;272;39191
2020-10-18;194;39385
2020-10-19;241;39626
2020-10-20;253;39879
2020-10-21;287;40166
2020-10-22;226;40392
2020-10-23;246;40638
2020-10-24;166;40804
2020-10-25;219;41023
2020-10-26;354;41377
2020-10-27;245;41622
2020-10-28;208;41830
2020-10-29;219;42049
2020-10-30;198;42247
2020-10-31;240;42542
2020-11-01;235;42778
2020-11-02;198;42920
